method,architecture,case,reconstruction,replicates,rmse_global_mean,rmse_global_std,rmse_roi_mean,rmse_roi_std,empirical_dprime
Rule_triple_center,Rule_triple_center_triple_layer_staggered_center,offroi_edge_target,MLE,6,0.001713390515355252,2.3321626228095705e-05,0.004476267234333861,4.210717469728597e-05,212.88078459367557
Rule_triple_center,Rule_triple_center_triple_layer_staggered_center,offroi_edge_target,MAP,6,0.0014444616212838301,1.851222454447767e-05,0.005071295583542257,3.282833931790099e-05,212.88089138614507
Rule_triple_center,Rule_triple_center_triple_layer_staggered_center,high_z_shift_target,MLE,6,0.0016836756245948124,2.1186464587429535e-05,0.00415060358344617,6.37694956093642e-05,93.3555992924652
Rule_triple_center,Rule_triple_center_triple_layer_staggered_center,high_z_shift_target,MAP,6,0.0014165621441421554,1.710923143051545e-05,0.004738928512436339,5.079801343923585e-05,93.35560247619006
Rule_triple_center,Rule_triple_center_triple_layer_staggered_center,double_roi_offroi_target,MLE,6,0.001710878300106681,1.8308564054635337e-05,0.0035241431343733375,6.34573270512557e-05,131.0084725232667
Rule_triple_center,Rule_triple_center_triple_layer_staggered_center,double_roi_offroi_target,MAP,6,0.0014519131908840132,1.4914457142442629e-05,0.003982567256290811,5.154522147528289e-05,131.00844830890128
CRLB_Aopt,CRLB_Aopt_cand_0216,offroi_edge_target,MLE,6,0.009103333000606288,0.0029065787282894335,0.004428800044805236,0.00013138875237938264,59.587091400319935
CRLB_Aopt,CRLB_Aopt_cand_0216,offroi_edge_target,MAP,6,0.0074727127624920064,0.002380572573599407,0.004994810468226339,9.023874651876555e-05,59.5870991597907
CRLB_Aopt,CRLB_Aopt_cand_0216,high_z_shift_target,MLE,6,0.009959330435186734,0.005115882432708123,0.004314006163149044,0.0001295816709196291,62.74005378884212
CRLB_Aopt,CRLB_Aopt_cand_0216,high_z_shift_target,MAP,6,0.008173702669870891,0.004192652149187592,0.004815388771878663,7.038563990303217e-05,62.74005515856032
CRLB_Aopt,CRLB_Aopt_cand_0216,double_roi_offroi_target,MLE,6,0.00799253464277396,0.0028371201009957225,0.0036709717355627885,0.0002544684167879492,79.6603382584975
CRLB_Aopt,CRLB_Aopt_cand_0216,double_roi_offroi_target,MAP,6,0.006565484279092277,0.0023233783945073717,0.004073029148269578,0.0001749700160885101,79.66033403423742
EIG_only,EIG_only_cand_0216,offroi_edge_target,MLE,6,0.00777208576680419,0.0024504929385823523,0.004438745568657334,9.336192882230954e-05,84.77660549881213
EIG_only,EIG_only_cand_0216,offroi_edge_target,MAP,6,0.006382607018932128,0.0020062651589277765,0.005029271493476129,6.220662540362022e-05,84.77663354999036
EIG_only,EIG_only_cand_0216,high_z_shift_target,MLE,6,0.007562733493121304,0.002060193346339874,0.004244129718861066,6.172533819891716e-05,60.21765532683678
EIG_only,EIG_only_cand_0216,high_z_shift_target,MAP,6,0.006209993133955999,0.0016867207032373304,0.004773666381277115,4.664620884842589e-05,60.217653789106
EIG_only,EIG_only_cand_0216,double_roi_offroi_target,MLE,6,0.009586995616022822,0.0044623723012482954,0.0036480611452248007,0.00018212837085093662,96.70678977593381
EIG_only,EIG_only_cand_0216,double_roi_offroi_target,MAP,6,0.007872184437948052,0.0036541060510167675,0.004031379650806918,0.00011982539041625289,96.70680959740429
EIG_plus_dprime,EIG_plus_dprime_cand_0236,offroi_edge_target,MLE,6,0.0020363263406943644,0.0002451021295264804,0.004219991426972874,3.1743306342722996e-05,148.8906964520814
EIG_plus_dprime,EIG_plus_dprime_cand_0236,offroi_edge_target,MAP,6,0.0017015729286121775,0.0001967921054130401,0.004846548172888212,2.2538777874512646e-05,148.89069683647207
EIG_plus_dprime,EIG_plus_dprime_cand_0236,high_z_shift_target,MLE,6,0.0018498165574822774,0.00012923469134663753,0.004123163987397261,3.050258663909505e-05,143.3304383924506
EIG_plus_dprime,EIG_plus_dprime_cand_0236,high_z_shift_target,MAP,6,0.0015498520824175615,0.00010380795017895213,0.0047260677015308105,1.7787320141918185e-05,143.3304234702206
EIG_plus_dprime,EIG_plus_dprime_cand_0236,double_roi_offroi_target,MLE,6,0.0019975990437121637,0.0002304886171106807,0.003377199738801337,3.1739534725179556e-05,107.7072958940599
EIG_plus_dprime,EIG_plus_dprime_cand_0236,double_roi_offroi_target,MAP,6,0.0016792906647564027,0.00018434142420850955,0.0038594391241333903,3.2027185001293314e-05,107.70731044850523
